text,label
Pay electricity bill today,High
Submit assignment tomorrow,High
Finish project report,High
Attend client meeting,High
Renew insurance before deadline,High
Buy groceries,Medium
Clean room,Medium
Go to gym,Medium
Call plumber,Medium
Prepare dinner,Medium
Watch movie,Low
Scroll social media,Low
Play games,Low
Listen to music,Low
Take a nap,Low
Fix leaky pipe immediately,High
Submit tax return by midnight,High
Pay rent due today,High
Finish presentation for 9 AM meeting,High
Call ambulance emergency,High
Water the plants,Medium
Schedule dentist appointment,Medium
Walk the dog,Medium
Buy new headphones,Medium
Organize bookshelf,Medium
Read a fantasy novel,Low
Binge watch a sitcom,Low
Daydream about vacation,Low
Meditate for 10 minutes,Low
Organize photo album,Low
Update software patch,High
Fix broken car engine,High
Renew passport before flight,High
Complete quarterly report,High
Call backup generator repair,High
Fold laundry,Medium
Buy pet food,Medium
Water garden,Medium
Schedule car service,Medium
Cook breakfast,Medium
Play video games,Low
Listen to podcast,Low
Stare at clouds,Low
Stretch before bed,Low
Browse online stores,Low
Call bank to report fraud,High
Submit visa application,High
Pay credit card bill,High
Finish thesis draft,High
Prepare emergency kit,High
Wash dishes,Medium
Dust furniture,Medium
Buy shampoo,Medium
Call utility company,Medium
Plan weekend trip,Medium
Play chess,Low
Sketch a drawing,Low
Watch sunset,Low
Journal thoughts,Low
Tidy up desk,Low
Submit assignment today urgent,High
Pay bill immediately,High
Doctor appointment today,High
Buy groceries later,Medium
Clean room this week,Medium
Walk dog routine,Medium
Watch movie for fun,Low
Play games to relax,Low
Read book hobby,Low
Pay phone bill before due date,High
Fix leaky faucet in kitchen,High
Prepare slides for presentation,High
Call mechanic about car noise,High
Renew car insurance today,High
Water indoor plants,Medium
Buy milk and eggs,Medium
Schedule oil change,Medium
Reply to boss's email,Medium
Organize desk drawers,Medium
Watch a comedy show,Low
Listen to favorite album,Low
Scroll Instagram,Low
Take a nap,Low
Do nothing for 10 minutes,Low
Submit quarterly taxes by Friday,High
Fix critical bug in code,High
Submit resignation letter,High
Call 911 emergency,High
Submit bank loan documents,High
Buy pet food,Medium
Go to gym,Medium
Buy craft supplies,Medium
Call electrician about wiring,High
Clean bathroom sink,Medium
Watch motivational YouTube video,Low
Play video game,Low
Browse TikTok,Low
Meditate,Low
Organize computer files,Medium
Rush to hospital right now,High
Send this asap to the manager,High
Respond to legal notice immediately,High
Critical server is down fix now,High
Emergency meeting in 10 minutes,High
File legal documents before court date,High
Get car brakes repaired urgently,High
Pay overdue loan installment now,High
Renew visa before it expires today,High
Call doctor about chest pain right now,High
Submit urgent report to director,High
Fix production bug before client demo,High
Deadline for contract submission today,High
Respond to police summons,High
Medical test appointment this morning,High
Reply to a friend's message,Medium
Pick up dry cleaning this week,Medium
Meal prep for the week,Medium
Research new laptop to buy,Medium
Sort out emails in inbox,Medium
Look into gym membership options,Medium
Schedule haircut appointment,Medium
Plan monthly budget,Medium
Review project notes,Medium
Buy birthday gift for friend,Medium
Check in with the team,Medium
Update personal resume,Medium
Restock kitchen pantry,Medium
Find a new recipe to try,Medium
Book a table at a restaurant,Medium
Learn about a new topic for fun,Medium
Try a new hobby this weekend,Low
Doodle in my sketchbook,Low
Rearrange bedroom furniture someday,Low
Learn a magic trick when bored,Low
Browse interesting YouTube channels,Low
Just breathe and relax,Low
Watch clouds drift by,Low
Think about a fun trip idea,Low
Play with a pet just for fun,Low
Read comic books for leisure,Low
Try out a new video game,Low
Listen to a chill playlist,Low
Write random thoughts in journal,Low
Look up funny memes,Low
Do some light stretching,Low
Explore a new neighborhood someday,Low
Watch a nature documentary,Low
Try painting for the first time,Low
Read a short story tonight,Low
Daydream and do nothing,Low
Complete project before the deadline,High
Handle urgent client complaint now,High
Respond to compliance audit request today,High
Pay overdue electricity bill before disconnection,High
Fix data breach in system immediately,High
Submit exam application before registration closes,High
Report accident to insurance right away,High
Attend mandatory training session this morning,High
Cancel subscription before next billing cycle today,High
Renew driving license before it expires,High
Rush blood test result to the doctor,High
Call fire department about gas leak now,High
Alert team about critical system failure,High
Submit grant application by tonight,High
Schedule surgery pre-op tests this week,High
Deliver signed contract to client today,High
Fix broken heating before the cold night,High
Back up data before server migration today,High
Handle escalated customer complaint immediately,High
Pay bail amount before court deadline,High
Complete mandatory compliance form by end of day,High
Get car emissions test before registration renewal,High
Address urgent HR complaint filed today,High
Secure access credentials before security audit,High
Resolve payment failure before order cancels,High
Alert team lead about production outage now,High
Submit insurance claim before policy expires today,High
Finish licensing paperwork before business opens,High
Send ambulance to the accident scene now,High
Contact lawyer about lawsuit filed today,High
Review product catalog for upcoming launch,Medium
Respond to team's general questions,Medium
Update project tracker with current status,Medium
Schedule weekly sync meeting,Medium
Explore new tools for productivity,Medium
Order office supplies this week,Medium
Clean and reorganize the garage,Medium
Plan a healthy meal for the week,Medium
Read industry news and updates,Medium
Draft a blog post for next month,Medium
Research best practices for the project,Medium
Buy a new pair of running shoes,Medium
Set up a home office space,Medium
Look into online course options,Medium
Update phone to latest software version,Medium
Organize digital folders and files,Medium
Return library books by end of week,Medium
Write a thank-you email to a colleague,Medium
Renew magazine subscription this month,Medium
Pick up prescription from pharmacy today,Medium
Plan a budget for next quarter,Medium
Register for upcoming webinar,Medium
Check in with family over the weekend,Medium
Sort out storage boxes in spare room,Medium
Book flight tickets for next month travel,Medium
Follow up on pending invoice,Medium
Try cooking a new recipe this weekend,Medium
Update contact list in phone,Medium
Review and reply to non-urgent emails,Medium
Attend optional team social event,Medium
Sit in the garden and enjoy nature,Low
Watch a feel-good movie,Low
Browse a bookstore online,Low
Practice guitar for fun,Low
Try origami for the first time,Low
Collect interesting quotes in a notebook,Low
Play a board game with friends someday,Low
Color in an adult coloring book,Low
Go for a leisurely walk in the park,Low
Window shop online for fun,Low
Try a new flavor of tea or coffee,Low
Doodle cartoon characters,Low
Watch a travel vlog,Low
Reminisce about old memories,Low
Build a playlist for different moods,Low
Rearrange photos in digital album,Low
Explore Wikipedia rabbit holes,Low
Try some easy yoga poses,Low
Watch a classic film,Low
Learn a new word in another language,Low
Do a jigsaw puzzle,Low
Bake something new just for fun,Low
Write a short poem or haiku,Low
Watch animal videos online,Low
Play solitaire or a card game,Low
Sit quietly and enjoy the silence,Low
Draw a map of your dream city,Low
Re-read a favorite book chapter,Low
Watch a stand-up comedy special,Low
Think of fun gift ideas for friends,Low
