text,label
Win a free iPhone now,Spam
Claim your reward urgently,Spam
Click here to get money,Spam
You have won a lottery,Spam
Free credit card offer inside,Spam
Urgent: Verify your account now,Spam
Double your investment today,Spam
Congratulations you are selected,Spam
Claim your free gift card,Spam
Act now before time expires,Spam
Winner notification for user 882,Spam
Your package delivery failed click here,Spam
IRS refund pending for you,Spam
Cheap replica watches available,Spam
Get rich quick scheme revealed,Spam
Free trial with no credit card,Spam
Your bank account is compromised,Spam
Verify your identity immediately,Spam
Exclusive offer for you only,Spam
Make money from home easy,Spam
Unsubscribe from this list now,Spam
Your password has expired,Spam
Security alert on your device,Spam
Claim your inheritance now,Spam
Free cruise trip available,Spam
Lottery winner notification pending,Spam
Get paid to click links,Spam
Your subscription renewal failed,Spam
Urgent legal notice attached,Spam
Free download for premium users,Spam
Limited time offer 50% off,Promotion
Big sale on electronics today,Promotion
Discount on shoes available,Promotion
Flash sale ends tonight only,Promotion
50% off all winter jackets,Promotion
Buy one get one free deal,Promotion
Exclusive weekend discount code,Promotion
New arrivals 20% off today,Promotion
Clearance sale up to 70% off,Promotion
Free shipping on orders over 50,Promotion
Student discount available now,Promotion
Black Friday deals are here,Promotion
Cyber Monday massive discounts,Promotion
Summer clearance event starts now,Promotion
Flash sale on gaming consoles,Promotion
Special offer for new customers,Promotion
Holiday gift guide with discounts,Promotion
Mid-season sale on all items,Promotion
Limited stock at low prices,Promotion
Early bird special pricing ends soon,Promotion
Bundle deal save 30% today,Promotion
Referral bonus get 10 dollars,Promotion
Member only exclusive sale,Promotion
Last chance for big savings,Promotion
Price drop alert on laptops,Promotion
Up to 80% off designer bags,Promotion
Flash deal of the hour,Promotion
VIP access to sale early,Promotion
Seasonal clearance final days,Promotion
Exclusive coupon code inside,Promotion
Meeting with client tomorrow,Important
Submit report by evening,Important
Invoice for your purchase,Important
Project deadline extended,Important
Team standup at 10 AM,Important
Quarterly review scheduled for Friday,Important
Client meeting rescheduled to Monday,Important
Please review the attached contract,Important
Server maintenance tonight at 2 AM,Important
Password reset required immediately,Important
Budget approval needed for Q3,Important
HR policy update effective next week,Important
Project kickoff meeting at noon,Important
Code review deadline is tomorrow,Important
Weekly status report due today,Important
New feature launch notification,Important
Security patch update available,Important
Client feedback on draft attached,Important
Interview scheduled with candidate,Important
Office closure due to holiday,Important
Mandatory training session reminder,Important
Quarterly earnings call tomorrow,Important
Board meeting minutes attached,Important
Client deliverable due by 5 PM,Important
Urgent bug fix required now,Important
Server upgrade scheduled for Sunday,Important
Team building event next Friday,Important
Performance review self-assessment,Important
New hire onboarding tomorrow,Important
Critical system alert resolved,Important
